level,parameter,category,output_variable,sensitivity_score,p_value,ci_lower,ci_upper,n_samples,elasticity,param_change,output_change,building_id,object_type,object_name,field_name,zone_name,interaction_type,avg_zone_param_change,avg_output_change,significance,confidence_level,time_slice,analysis_type
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_radiant,lighting,Zone Air System Sensible Heating Energy,0.9492102088010701,0.05,0,0,1,-0.9492102088010701,100.0,-94.92102088010701,4136738,LIGHTS,Lights_ALL_ZONES,fraction_radiant,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_radiant,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,100.0,,4136733,LIGHTS,Lights_ALL_ZONES,fraction_radiant,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_radiant,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,100.0,,4136737,LIGHTS,Lights_ALL_ZONES,fraction_radiant,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_radiant,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,100.0,,4136738,LIGHTS,Lights_ALL_ZONES,fraction_radiant,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_visible,lighting,Zone Air System Sensible Heating Energy,0.7839243684981205,0.05,0,0,1,-0.7839243684981205,100.0,-78.39243684981206,4136733,LIGHTS,Lights_ALL_ZONES,fraction_visible,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_visible,lighting,Zone Air System Sensible Heating Energy,0.848147363699271,0.05,0,0,1,-0.848147363699271,100.0,-84.8147363699271,4136737,LIGHTS,Lights_ALL_ZONES,fraction_visible,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_visible,lighting,Zone Air System Sensible Heating Energy,0.9492102088010701,0.05,0,0,1,-0.9492102088010701,100.0,-94.92102088010701,4136738,LIGHTS,Lights_ALL_ZONES,fraction_visible,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_visible,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,100.0,,4136733,LIGHTS,Lights_ALL_ZONES,fraction_visible,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_visible,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,100.0,,4136737,LIGHTS,Lights_ALL_ZONES,fraction_visible,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*fraction_visible,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,100.0,,4136738,LIGHTS,Lights_ALL_ZONES,fraction_visible,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*return_air_fraction,lighting,Zone Air System Sensible Heating Energy,2.508557979193986,0.05,0,0,1,2.508557979193986,-31.25,-78.39243684981206,4136733,LIGHTS,Lights_ALL_ZONES,return_air_fraction,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*return_air_fraction,lighting,Zone Air System Sensible Heating Energy,2.7140715638376673,0.05,0,0,1,2.7140715638376673,-31.25,-84.8147363699271,4136737,LIGHTS,Lights_ALL_ZONES,return_air_fraction,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*return_air_fraction,lighting,Zone Air System Sensible Heating Energy,3.0374726681634243,0.05,0,0,1,3.0374726681634243,-31.25,-94.92102088010701,4136738,LIGHTS,Lights_ALL_ZONES,return_air_fraction,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*return_air_fraction,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-31.25,,4136733,LIGHTS,Lights_ALL_ZONES,return_air_fraction,,,,,,low,peak_months,modification
