VariableName,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30
ZONE1_LEFTPERIMETER_WALL_0 WINDOW:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),40.90009984812499,65.07724577605968,112.0188087863026,116.44955064780169,120.05650128642468,16.113667153091214,82.6930322650551,3.810870434181265,35.6546061806447,52.00798182292698,100.363158978368,100.80271651041456,56.35746372884021,8.975193507519716,6.2046497678774735,91.71753887179746,109.79963944108734,10.13307038871855,62.260419826824695,85.4413387025143,86.52206467929507,32.49157942743822,97.64952726643752,97.62259622523476,18.812455683432837,2.7409971837948515,84.81185787130664,37.89454508148457,19.999261676700083,125.54682508621202
ZONE1_LEFTPERIMETER_WALL_0 WINDOW:Surface Outside Face Temperature [C](Hourly),2.8684756192377656,4.380765940184282,3.1540020191279887,-0.112819241771571,-2.774235731874408,-2.947685851813393,-2.301341122870003,0.3071797731455946,5.011981417793421,5.428941384319337,4.485183440505354,4.883549905084867,3.8201962285947904,5.551331929692039,7.550979045133964,6.283518577757725,5.600260777812711,6.077068430367826,5.026501949350736,8.44631212255819,6.675843358013926,7.020431051184936,7.154976128941978,7.212066916979018,4.588609795233431,7.25580117091732,4.270442989859775,7.68612107119496,7.742139037762857,5.878239773287734
ZONE1_LEFTPERIMETER_WALL_0:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-57.89858063075749,-64.63412203188078,-52.16729534872584,-36.332946614019455,74.76309694692479,154.5740707048872,-176.35397828911763,-132.34428745642333,-143.5048127888435,-121.95803159471286,-90.1008713126462,30.28448693580912,116.5750354158851,-167.7377126933133,-110.7117211512312,-76.41847955018741,-64.07712179033568,-56.01259322954939,47.09837288585515,81.83967331206281,-143.07779585596947,-81.81784941472547,-65.30343203924187,-53.35251886450231,-34.00688751878192,48.35272591684427,128.4706841726324,-156.93167589480657,-90.28179631985564,-57.36689578844069
ZONE1_LEFTPERIMETER_WALL_0:Surface Inside Face Temperature [C](Hourly),11.2236499978209,11.222480329056683,10.953671405287386,10.399161249775128,7.94675972194699,3.789850031095659,7.622554681589672,8.950245952562662,10.143042101110646,10.870969708471174,10.96547905052238,9.215550391384198,5.610482269600685,9.691070786016654,11.301607146190918,11.63079471474853,11.480603005229671,11.760005133403462,9.689712172201398,7.463072631366636,10.5559374664709,11.7174588145182,11.996264403634925,12.113022840803458,11.736278222161744,10.301431857326492,6.657566836394335,10.346566717371262,11.603676944077217,11.756717272012787
ZONE1_LEFTPERIMETER_WALL_0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),40.9000998496033,65.07724577843162,112.01880879043232,116.4495506520954,120.05650129085149,16.113667153637973,82.69303226807806,3.810870434302039,35.654606181919426,52.0079818248154,100.36315898205572,100.8027165141174,56.357463730888206,8.97519350782166,6.2046497680827,91.71753887514492,109.79963944510662,10.133070389050149,62.260419829079815,85.44133870562155,86.5220646824456,32.49157942858179,97.64952726999849,97.62259622879928,18.81245568406811,2.7409971838795197,84.81185787438125,37.894545082827065,19.99926167741416,125.54682509077844
ZONE1_LEFTPERIMETER_WALL_0:Surface Outside Face Temperature [C](Hourly),3.321845979706088,5.423849056103016,6.291813867613009,3.173972782744105,-0.7050169541859477,-2.303682857239686,0.6392039757955704,0.0649749771885374,5.241148288146275,6.145333535133342,6.240046305725244,7.219753444908117,5.537775078220484,5.581755345530712,7.419633326716496,7.576239146399192,6.788410440559711,6.198822778555723,5.870022178768937,9.531548828903455,7.772603751850807,7.53035402662336,8.490963852289696,8.700944274611574,4.984303467785686,7.1763865112653145,6.083391501532361,8.048296860220345,7.936207126434719,8.846121781996986
ZONE1_LEFTPERIMETER_WALL_1:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),0.0097499139542224,0.0321794784225399,0.1116559370021711,0.0925761167505635,0.2083454943460837,0.2410666692213842,-0.3660218818539945,-0.2070752430521218,-0.1383993436050654,0.0526292975027115,0.0218058070494218,0.2675869442126877,0.0809281352776559,-0.4378234256738191,-0.0656838950602283,0.1245636733115652,-0.137865357094022,0.0744275884082989,0.1315316876906608,0.2000995575297004,-0.3815296401930755,-0.059133399018282,0.0154947400099686,0.0629119569648981,-0.0217560510327867,0.2738649416242039,0.2151029580734063,-0.4658647339372064,-0.0179743728027633,0.1643610244545463
ZONE1_LEFTPERIMETER_WALL_1:Surface Inside Face Temperature [C](Hourly),11.290859614844813,11.335721587976517,10.988613091508542,10.324575284523725,7.419309618526872,3.016045647904576,8.062622354493978,9.266548678187812,10.56304412126146,11.214163590432852,11.167085388193092,8.972054217765194,5.110810228055208,10.225015660955515,11.637659419591069,11.817629769673765,11.60530550215229,11.868226374994004,9.396438218540176,7.180683722896233,11.005881883275473,11.943919758454156,12.15137549137934,12.224891454640876,11.744062752688,10.040023272421871,6.1163340999003895,10.868763949589912,11.86271575362197,11.8608777799929
ZONE1_LEFTPERIMETER_WALL_1:Surface Outside Face Temperature [C](Hourly),11.29168940374074,11.338460296645858,10.99811582734024,10.332454188283116,7.437041341959159,3.0365621823311635,8.031471218734742,9.248925062419213,10.551265326180165,11.218642728081988,11.16894122165391,8.994827821311372,5.1176978035083645,10.187753689341536,11.632069240332244,11.82823104815018,11.593572153223596,11.874560706425214,9.407632525938244,7.19771365687285,10.973410924004884,11.938887074256716,12.1526942069358,12.230245721720118,11.742211153827643,10.063331179405512,6.134640932855887,10.829115457814476,11.861186003202322,11.87486610375206
ZONE1_LEFTPERIMETER_WALL_2:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-51.442635304068325,-55.723788882179626,-65.8779447291774,-63.26385607346509,-80.94462871677555,-50.3878955850489,17.46126468098007,6.283939588090289,-28.821363006551582,-40.91019145586436,-55.81169673600949,-90.10982028048076,-88.73630749770359,-9.425485564518532,-40.43259684864922,-61.049891823276845,-66.12784741887225,-54.22253110348575,-88.1606178813435,-106.82093259939592,-40.47114396592831,-54.42895932760706,-69.2193152810119,-72.89137391772653,-58.79075913025679,-82.10251009344871,-108.11814855625398,-28.078416991153304,-51.87411387529173,-70.62472203390031
