Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 09/13,,,10243236.620065155 
 09/14,,,1371139.5453498703 
 09/15,,,1371139.5453498703 
 09/16,,,10243236.620065155 
 09/17,,,10243236.620065155 
 09/18,,,10243236.620065155 
 09/19,,,10243236.620065155 
 09/20,,,10243236.620065155 
 09/21,,,1371139.5453498703 
 09/22,,,1371139.5453498703 
 09/23,,,10243236.620065155 
 09/24,,,10243236.620065155 
 09/25,,,10243236.620065155 
 09/26,,,10243236.620065155 
 09/27,,,10243236.620065155 
 09/28,,,1371139.5453498703 
 09/29,,,1371139.5453498703 
 09/30,20736061.698368218,219757351.94018015,10243236.620065155 
 10/01,,,10243236.620065155 
 10/02,,,10243236.620065155 
 10/03,,,10243236.620065155 
 10/04,,,10243236.620065155 
 10/05,,,1371139.5453498703 
 10/06,,,1371139.5453498703 
 10/07,,,10243236.620065155 
 10/08,,,10243236.620065155 
 10/09,,,10243236.620065155 
 10/10,,,10243236.620065155 
 10/11,,,10243236.620065155 
 10/12,,,1371139.5453498703 
 10/13,,,1371139.5453498703 
 10/14,,,10243236.620065155 
 10/15,,,10243236.620065155 
 10/16,,,10243236.620065155 
 10/17,,,10243236.620065155 
 10/18,,,10243236.620065155 
 10/19,,,1371139.5453498703 
 10/20,,,1371139.5453498703 
 10/21,,,10243236.620065155 
 10/22,,,10243236.620065155 
 10/23,,,10243236.620065155 
 10/24,,,10243236.620065155 
 10/25,,,10243236.620065155 
 10/26,,,1371139.5453498703 
 10/27,,,1371139.5453498703 
 10/28,,,10243236.620065155 
 10/29,,,10243236.620065155 
 10/30,,,10243236.620065155 
 10/31,346527154.2123607,624156.6713686296,10243236.620065155 
 11/01,,,10243236.620065155 
 11/02,,,1371139.5453498703 
 11/03,,,1371139.5453498703 
 11/04,,,10243236.620065155 
 11/05,,,10243236.620065155 
 11/06,,,10243236.620065155 
 11/07,,,10243236.620065155 
 11/08,,,10243236.620065155 
 11/09,,,1371139.5453498703 
 11/10,,,1371139.5453498703 
 11/11,,,10243236.620065155 
 11/12,,,10243236.620065155 
 11/13,,,10243236.620065155 
 11/14,,,10243236.620065155 
 11/15,,,10243236.620065155 
 11/16,,,1371139.5453498703 
 11/17,,,1371139.5453498703 
 11/18,,,10243236.620065155 
 11/19,,,10243236.620065155 
 11/20,,,10243236.620065155 
 11/21,,,10243236.620065155 
 11/22,,,10243236.620065155 
 11/23,,,1371139.5453498703 
 11/24,,,1371139.5453498703 
 11/25,,,10243236.620065155 
 11/26,,,10243236.620065155 
 11/27,,,10243236.620065155 
 11/28,,,10243236.620065155 
 11/29,,,10243236.620065155 
 11/30,839130360.4366182,0.0,1371139.5453498703 
 12/01,,,1371139.5453498703 
 12/02,,,10243236.620065155 
 12/03,,,10243236.620065155 
 12/04,,,10243236.620065155 
 12/05,,,10243236.620065155 
 12/06,,,10243236.620065155 
 12/07,,,1371139.5453498703 
 12/08,,,1371139.5453498703 
 12/09,,,10243236.620065155 
 12/10,,,10243236.620065155 
 12/11,,,10243236.620065155 
 12/12,,,10243236.620065155 
 12/13,,,10243236.620065155 
 12/14,,,1371139.5453498703 
 12/15,,,1371139.5453498703 
 12/16,,,10243236.620065155 
 12/17,,,10243236.620065155 
 12/18,,,10243236.620065155 
 12/19,,,10243236.620065155 
 12/20,,,10243236.620065155 
 12/21,,,1371139.5453498703 
 12/22,,,1371139.5453498703 
 12/23,,,10243236.620065155 
 12/24,,,10243236.620065155 
 12/25,,,10243236.620065155 
 12/26,,,10243236.620065155 
 12/27,,,10243236.620065155 
 12/28,,,1371139.5453498703 
 12/29,,,1371139.5453498703 
 12/30,,,10243236.620065155 
 12/31,1661113416.1682277,0.0,10243236.620065155 
